Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664128672.8662412,0,64673,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128673.8652682,0,64674,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128674.866989,0,64675,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128675.8653193,0,64676,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128676.8661222,0,64677,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128677.8649898,0,64678,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128678.8651266,0,64679,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128679.8652658,0,64680,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128680.86599,0,64681,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128681.8652792,0,64682,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128682.8658504,0,64683,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128683.8663678,0,64684,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128684.866129,0,64685,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128685.8659685,0,64686,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128686.867259,0,64687,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128687.8670108,0,64688,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128688.8666782,0,64689,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128689.8681219,0,64690,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.3,327150.2202091657,4686669.0681088,19,T
1664128690.886606,0,64691,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.4,327150.2202091657,4686669.0681088,19,T
1664128691.865891,0,64692,0,GPS1_Frame,42.31308666666667,-71.09738166666666,56.4,327150.2202091657,4686669.0681088,19,T
1664128692.8861685,0,64693,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128693.865909,0,64694,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128694.8653114,0,64695,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128695.8662298,0,64696,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128696.8847213,0,64697,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128697.8844495,0,64698,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128698.8668082,0,64699,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128699.8661208,0,64700,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128700.8659685,0,64701,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128701.8652766,0,64702,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128702.8655956,0,64703,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128703.8657634,0,64704,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128704.8857045,0,64705,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128705.86555,0,64706,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128706.8661,0,64707,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128707.866303,0,64708,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128708.865806,0,64709,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128709.8657143,0,64710,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.4,327150.0828496993,4686669.071495221,19,T
1664128710.8671484,0,64711,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.5,327150.0828496993,4686669.071495221,19,T
1664128711.866332,0,64712,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.5,327150.0828496993,4686669.071495221,19,T
1664128712.885896,0,64713,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.5,327150.0828496993,4686669.071495221,19,T
1664128713.8655038,0,64714,0,GPS1_Frame,42.31308666666667,-71.09738333333333,56.5,327150.0828496993,4686669.071495221,19,T
1664128714.8620152,0,64715,0,GPS1_Frame,42.31308666666667,-71.097385,56.5,327149.9454902308,4686669.074881644,19,T
1664128715.8817127,0,64716,0,GPS1_Frame,42.31308666666667,-71.097385,56.5,327149.9454902308,4686669.074881644,19,T
1664128716.863574,0,64717,0,GPS1_Frame,42.31308666666667,-71.097385,56.5,327149.9454902308,4686669.074881644,19,T
1664128717.8652694,0,64718,0,GPS1_Frame,42.31308666666667,-71.097385,56.5,327149.9454902308,4686669.074881644,19,T
1664128718.8651488,0,64719,0,GPS1_Frame,42.31308666666667,-71.097385,56.5,327149.9454902308,4686669.074881644,19,T
1664128719.8654635,0,64720,0,GPS1_Frame,42.31308666666667,-71.097385,56.5,327149.9454902308,4686669.074881644,19,T
1664128720.8839808,0,64721,0,GPS1_Frame,42.31308666666667,-71.097385,56.5,327149.9454902308,4686669.074881644,19,T
1664128721.8644097,0,64722,0,GPS1_Frame,42.31308666666667,-71.097385,56.5,327149.9454902308,4686669.074881644,19,T
