Time,gps_header.seq,gps_header.stamp.secs,gps_header.stamp.nsecs,gps_header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,grid
1663939546.2413712,0,48346,0,GPS1_Frame,42.31264833333333,-71.09644833333333,52.1,327225.94206807436,4686618.498717794,19,T
1663939547.2421796,0,48347,0,GPS1_Frame,42.31264833333333,-71.09644833333333,52.1,327225.94206807436,4686618.498717794,19,T
1663939548.2627916,0,48348,0,GPS1_Frame,42.31265666666666,-71.096455,52.4,327225.4154294479,4686619.43760757,19,T
1663939549.2604778,0,48349,0,GPS1_Frame,42.31266333333333,-71.09646500000001,53.1,327224.6095095874,4686620.198197226,19,T
1663939550.235114,0,48350,0,GPS1_Frame,42.312665,-71.09647333333334,53.3,327223.927268327,4686620.4001919525,19,T
1663939551.244103,0,48351,0,GPS1_Frame,42.31266833333334,-71.09648333333332,53.2,327223.11222739844,4686620.790641737,19,T
1663939552.2434034,0,48352,0,GPS1_Frame,42.31267,-71.09649166666667,53.1,327222.4299862321,4686620.99263661,19,T
1663939553.242206,0,48353,0,GPS1_Frame,42.312673333333336,-71.09650166666667,53.0,327221.6149454486,4686621.383086573,19,T
1663939554.2408922,0,48354,0,GPS1_Frame,42.31267666666666,-71.09651166666666,52.8,327220.7999047523,4686621.773536631,19,T
1663939555.2588391,0,48355,0,GPS1_Frame,42.31268166666667,-71.09652333333334,52.9,327219.85206455155,4686622.352441843,19,T
1663939556.259812,0,48356,0,GPS1_Frame,42.312684999999995,-71.09653499999999,52.5,327218.8996637248,4686622.746277158,19,T
1663939557.2400181,0,48357,0,GPS1_Frame,42.31269,-71.096545,52.5,327218.08918412763,4686623.321797572,19,T
1663939558.2588735,0,48358,0,GPS1_Frame,42.31269666666667,-71.09655666666666,53.0,327217.145905185,4686624.08577319,19,T
1663939559.242414,0,48359,0,GPS1_Frame,42.31270333333334,-71.096565,53.0,327216.477347036,4686624.842978748,19,T
1663939560.2601826,0,48360,0,GPS1_Frame,42.31270833333333,-71.09657333333332,52.9,327215.8042281653,4686625.415114345,19,T
1663939561.2728286,0,48361,0,GPS1_Frame,42.312715,-71.09658166666667,52.9,327215.1356702919,4686626.172320039,19,T
1663939562.2399874,0,48362,0,GPS1_Frame,42.312720000000006,-71.09659166666667,52.8,327214.3251913993,4686626.74784091,19,T
1663939563.2597303,0,48363,0,GPS1_Frame,42.312725,-71.09660000000001,52.7,327213.65207288763,4686627.319976725,19,T
1663939564.2397273,0,48364,0,GPS1_Frame,42.31272833333334,-71.09661166666666,52.6,327212.6996730564,4686627.713812917,19,T
1663939565.2389872,0,48365,0,GPS1_Frame,42.312729999999995,-71.09662166666666,52.7,327211.8800725861,4686627.91919402,19,T
1663939566.2402992,0,48366,0,GPS1_Frame,42.312735,-71.09663166666665,52.7,327211.0695941548,4686628.494715285,19,T
1663939567.2625473,0,48367,0,GPS1_Frame,42.31274,-71.09664,52.9,327210.39647607005,4686629.066851426,19,T
1663939568.2625535,0,48368,0,GPS1_Frame,42.31274333333334,-71.09664833333333,53.0,327209.7187970601,4686629.453917608,19,T
1663939569.2407682,0,48369,0,GPS1_Frame,42.31274833333334,-71.09665666666666,53.1,327209.04567917436,4686630.026053887,19,T
1663939570.2597568,0,48370,0,GPS1_Frame,42.31275666666667,-71.09666333333332,53.1,327208.51904372656,4686630.964945039,19,T
