Time,gps_header.seq,gps_header.stamp.secs,gps_header.stamp.nsecs,gps_header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,grid
1663896271.2612998,0,5071,0,GPS1_Frame,42.313043333333326,-71.09734,50.0,327153.5355690311,4686664.171627918,19,T
1663896272.2813852,0,5072,0,GPS1_Frame,42.313043333333326,-71.09734,50.0,327153.5355690311,4686664.171627918,19,T
1663896273.261415,0,5073,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896274.2621474,0,5074,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896275.2811663,0,5075,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896276.2613056,0,5076,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896277.2821763,0,5077,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896278.261944,0,5078,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896279.2600768,0,5079,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896280.2606769,0,5080,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896281.261796,0,5081,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896282.2623692,0,5082,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896283.2611828,0,5083,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896284.2607536,0,5084,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896285.2612145,0,5085,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896286.2799454,0,5086,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896287.2595158,0,5087,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896288.2603345,0,5088,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896289.2605917,0,5089,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896290.2606823,0,5090,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896291.2599173,0,5091,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896292.2599866,0,5092,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896293.261456,0,5093,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896294.2620263,0,5094,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.0,327153.6729285936,4686664.168241568,19,T
1663896295.2616193,0,5095,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896296.2608743,0,5096,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896297.2615335,0,5097,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896298.2807374,0,5098,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896299.2599425,0,5099,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896300.2799108,0,5100,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896301.261732,0,5101,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896302.2803924,0,5102,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896303.2599208,0,5103,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896304.2799733,0,5104,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896305.2806373,0,5105,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896306.2808633,0,5106,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896307.2809582,0,5107,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896308.2809603,0,5108,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896309.2611427,0,5109,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896310.2810857,0,5110,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
1663896311.280475,0,5111,0,GPS1_Frame,42.313043333333326,-71.09733833333333,50.1,327153.6729285936,4686664.168241568,19,T
