Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664214438.1972685,0,64038,0,GPS1_Frame1,42.33772166666667,-71.0876,1.0,4689384.763485273,328023.5245226807,19,T
1664214439.199458,0,64039,0,GPS1_Frame1,42.337725,-71.087605,1.0,4689385.143739202,328023.1216925661,19,T
1664214440.1982195,0,64040,0,GPS1_Frame1,42.33773166666667,-71.08761166666666,1.0,4689385.897505321,328022.59064387926,19,T
1664214441.199149,0,64041,0,GPS1_Frame1,42.337735,-71.08761833333334,1.0,4689386.281130219,328022.05050818226,19,T
1664214442.1992738,0,64042,0,GPS1_Frame1,42.337735,-71.087625,1.0,4689386.294613898,328021.50128538633,19,T
1664214443.1965957,0,64043,0,GPS1_Frame1,42.33773166666667,-71.08763166666667,1.1,4689385.9379563555,328020.94297540636,19,T
1664214444.1917698,0,64044,0,GPS1_Frame1,42.33773166666667,-71.08763166666667,1.6,4689385.9379563555,328020.94297540636,19,T
1664214445.2065275,0,64045,0,GPS1_Frame1,42.337735,-71.087635,1.9,4689386.314839496,328020.67745119415,19,T
1664214446.1922958,0,64046,0,GPS1_Frame1,42.337741666666666,-71.08763333333333,1.6,4689387.051751084,328020.83293128235,19,T
1664214447.192253,0,64047,0,GPS1_Frame1,42.33775,-71.08763333333333,1.6,4689387.977104245,328020.85564927076,19,T
1664214448.2044075,0,64048,0,GPS1_Frame1,42.337756666666664,-71.08763333333333,2.3,4689388.717386774,328020.87382366415,19,T
1664214449.2069793,0,64049,0,GPS1_Frame1,42.337761666666665,-71.08763166666667,1.7,4689389.269227734,328021.02476010064,19,T
1664214450.192113,0,64050,0,GPS1_Frame1,42.337775,-71.08764,1.6,4689390.766647511,328020.3745808101,19,T
1664214451.2052348,0,64051,0,GPS1_Frame1,42.337775,-71.087645,3.3,4689390.776760372,328019.96266397514,19,T
1664214452.206681,0,64052,0,GPS1_Frame1,42.337775,-71.087645,2.5,4689390.776760372,328019.96266397514,19,T
1664214453.1904612,0,64053,0,GPS1_Frame1,42.33777666666667,-71.08764,2.5,4689390.951718144,328020.379124425,19,T
1664214454.2068794,0,64054,0,GPS1_Frame1,42.33777833333333,-71.08763666666667,2.5,4689391.130046884,328020.65827924735,19,T
1664214455.2064967,0,64055,0,GPS1_Frame1,42.337788333333336,-71.08762833333333,2.5,4689392.223615993,328021.3720688122,19,T
1664214456.1902933,0,64056,0,GPS1_Frame1,42.337785,-71.08762166666666,2.5,4689391.839991023,328021.9122039918,19,T
